downloads,recent_downloads,updated_at_days_ago,created_at_days_ago,cvss_score,label,max_version_encoded
3393551.364501961,427592.50464170176,,,0.0,1,55
176745.6847778148,11784.889781595415,,,0.0,1,4
4965184.638530631,424454.1829005335,,,0.0,1,150
20577.040685700085,1869.5262013151955,,,0.0,1,217
1039549.237156959,380321.6940183878,,,0.0,1,99
9183186.567648672,1132581.3973213262,,,0.0,1,193
34355.55580592868,5820.045328360798,,,0.0,1,183
5876.028844414276,509.0752432311306,,,0.0,1,9
141130683.8936544,15562754.51752782,,,0.0,1,188
217797195.55961305,25333667.61305581,,,0.0,1,303
31149932.84164131,7933175.040608606,,,0.0,1,220
164660854.66900814,45225165.21623892,,,0.0,1,41
27574066.23674511,2492904.136319067,,,0.0,1,138
6678516.667285448,229002.7655107297,,,0.0,1,132
4480611.4018924,377517.86092900345,,,0.0,1,51
35719.41835312191,4542.620377178688,,,0.0,1,50
7191.565648738491,1687.808111016583,,,0.0,1,149
8060936.440099575,1923221.8849867028,,,0.0,1,116
36079.02108575175,5901.11917959387,,,0.0,1,276
18149262.017895952,4778708.845434121,,,0.0,1,349
13315.699272651422,2043.4789953476247,,,0.0,1,155
3103.6608895723875,566.3808429157606,,,0.0,1,11
3842.806950541172,299.0460086454398,,,0.0,1,10
330351271.7500907,42253585.06241331,,,0.0,1,136
662750.7147000936,164162.19826572013,,,0.0,1,98
951283.879380256,40331.94263370205,,,0.0,1,91
3135.540184509452,526.4461343270873,,,0.0,1,0
95604057.32926482,13700662.303809471,,,0.0,1,121
2873415.13960847,447562.83658263896,,,0.0,1,228
89175348.99113151,5767334.467963173,,,0.0,1,243
80145.57748781628,2025.6835950703403,,,0.0,1,125
3196568.948027354,642980.2835646574,,,0.0,1,65
15663744.953520482,2596133.6605842817,,,0.0,1,172
136645.99105487156,23268.99790477284,,,0.0,1,272
22365.711712405977,2624.811318168556,,,0.0,1,139
5571204.258023915,276102.69461181056,,,0.0,1,82
159694.11965339867,127044.24525902694,,,0.0,1,26
312468665.2706599,34370152.85790874,,,0.0,1,163
135145.65881573057,12053.918259022905,,,0.0,1,175
137949.14355483765,1288.8109900141046,,,0.0,1,7
35400683.29741848,6359154.585549779,,,0.0,1,80
211777293.67354265,23367507.20275264,,,0.0,1,304
4582.378303703836,3082.320748947908,,,0.0,1,85
830121.2033851389,324153.5416495245,,,0.0,1,306
235651.6220126165,14093.732078022744,,,0.0,1,181
117216223.31764764,21975064.26934683,,,0.0,1,345
1222253.3485476498,260270.1050770619,,,0.0,1,245
24279738.110625003,2870038.036262977,,,0.0,1,98
13332.698084681797,2134.011756240158,,,0.0,1,22
400767.38898575184,25355.235614618672,,,0.0,1,64
329382076.81837213,50016393.47708164,,,0.0,1,271
4145491.7831653375,923089.218513264,,,0.0,1,330
347848774.8170705,44989259.083192855,,,0.0,1,157
6091017.07188153,245959.63027634475,,,0.0,1,81
4882.951198668354,353.95389007195945,,,0.0,1,9
18270.44715888391,3553.5973534287355,,,0.0,1,86
4941.937493145601,1360.5810538807864,,,0.0,1,156
8898.825528055146,1029.7997031598627,,,0.0,1,92
